Region,Suburb,Population,Area,PopulationDensity
Yarra,Collingwood,10372,1.3,8185.6
Yarra,Fitzroy,11720,1.4,8505.1
Moreland - North,Gowanbrae,3120,1.5,2049.3
Melbourne City,South Yarra - West,6919,1.5,4604.4
Hobsons Bay,Seabrook,5516,1.6,3405.1
Essendon,Flemington,11189,1.6,7078.1
Yarra,Abbotsford,9848,1.7,5658.1
Maribyrnong,Seddon - Kingsville,10011,1.7,5957.9
Melton - Bacchus Marsh,Burnside Heights,6688,2,3351.9
Glen Eira,Hughesdale,8283,2,4121.7
Melbourne City,Kensington (Vic.),11862,2.1,5524.9
Stonnington - West,Armadale,10302,2.2,4718.1
Brunswick - Coburg,Brunswick East,13293,2.2,6131.5
Yarra,Carlton North - Princes Hill,9175,2.3,3981.9
Melbourne City,Docklands,14951,2.4,6117.4
Port Phillip,St Kilda East,18253,2.4,7562.9
Glen Eira,Murrumbeena,9988,2.5,3971.7
Port Phillip,South Melbourne,13162,2.5,5275.8
Yarra,Fitzroy North,13609,2.5,5432.5
Melton - Bacchus Marsh,Burnside,5296,2.6,2075.2
Whittlesea - Wallan,Bundoora - West,6623,2.6,2587
Port Phillip,Elwood,16623,2.6,6511.2
Keilor,Niddrie - Essendon West,7604,2.8,2713.1
Boroondara,Ashburton (Vic.),8248,2.8,2907.7
Port Phillip,Port Melbourne,17836,2.8,6394.2
Maroondah,Croydon South,4917,2.9,1721.6
Melbourne City,East Melbourne,5739,2.9,1979.1
Darebin - South,Alphington - Fairfield,9772,2.9,3386.8
Glen Eira,Elsternwick,12495,2.9,4366.4
Glen Eira,Ormond - Glen Huntly,14514,2.9,4941.6
Stonnington - West,Prahran - Windsor,22027,2.9,7581.4
Brunswick - Coburg,Pascoe Vale South,10968,3,3669.8
Moreland - North,Hadfield,6036,3.1,1979
Melbourne City,Southbank,24376,3.1,7929
Kingston,Chelsea Heights,5597,3.2,1751.4
Brunswick - Coburg,Brunswick West,15162,3.2,4768.7
Melbourne City,North Melbourne,25331,3.2,7796.1
Whitehorse - West,Surrey Hills (East) - Mont Albert,10602,3.3,3185.8
Brimbank,Delahey,8831,3.5,2519.2
Whitehorse - West,Blackburn South,11397,3.6,3168.8
Darebin - North,Preston - West,13363,3.6,3745.3
Keilor,Airport West,8280,3.7,2226.2
Dandenong,Noble Park North,7927,3.8,2109.7
Banyule,Watsonia,9678,3.8,2556.5
Dandenong,Noble Park - East,13496,3.8,3582.6
Essendon,Ascot Vale,16254,3.8,4237.1
Boroondara,Hawthorn East,16983,3.8,4441.2
Glen Eira,Carnegie,20126,3.8,5290.3
Tullamarine - Broadmeadows,Tullamarine,6824,3.9,1768.1
Brimbank,Sydenham,12765,3.9,3233.4
Port Phillip,St Kilda,29861,3.9,7654.7
Boroondara,Kew East,6913,4,1721.6
Melbourne City,Parkville,8434,4,2082.9
Tullamarine - Broadmeadows,Craigieburn - Central,8864,4,2233.5
Keilor,Strathmore,10372,4.1,2502.7
Banyule,Bundoora - East,10459,4.1,2566.7
Whitehorse - East,Forest Hill,11385,4.1,2797.2
Knox,Rowville - North,8383,4.2,2010.9
Banyule,Ivanhoe East - Eaglemont,8251,4.3,1929.2
Whitehorse - West,Burwood East,10971,4.3,2573.5
Stonnington - West,Toorak,14182,4.3,3280.4
Brimbank,Cairnlea,10568,4.4,2398.5
Brimbank,Kings Park (Vic.),14644,4.4,3303.9
Essendon,Moonee Ponds,15724,4.4,3610.5
Kingston,Mentone,14003,4.5,3146.7
Brimbank,Ardeer - Albion,8455,4.6,1842.7
Whitehorse - East,Vermont,11174,4.6,2424
Dandenong,Springvale South,13368,4.6,2931.6
Glen Eira,Bentleigh East (South),14189,4.6,3092.5
Tullamarine - Broadmeadows,Meadow Heights,15835,4.6,3423.6
Glen Eira,Bentleigh East (North),16026,4.6,3484.7
Whittlesea - Wallan,Bundoora - North,8491,4.7,1800.8
Maroondah,Ringwood North,10099,4.7,2134.8
Brimbank,Sunshine,10534,4.7,2226.1
Port Phillip,Albert Park,17197,4.7,3678.7
Glen Eira,Caulfield - South,18758,4.7,3955.2
Manningham - West,Doncaster East (South),15133,4.8,3173.6
Dandenong,Noble Park - West,19986,4.8,4168.5
Moreland - North,Coburg North,8666,4.9,1776.6
Whittlesea - Wallan,Mill Park - South,12483,4.9,2532.2
Casey - North,Narre Warren - North East,14169,4.9,2907.1
Banyule,Ivanhoe,12676,5,2510.1
Whitehorse - West,Burwood,14181,5,2814.1
Maribyrnong,Footscray,18623,5,3749.3
Darebin - South,Thornbury,20141,5,4030.5
Whitehorse - East,Nunawading,12836,5.1,2527.5
Kingston,Edithvale - Aspendale,13756,5.1,2697.2
Moreland - North,Fawkner,14964,5.1,2942.9
Brunswick - Coburg,Brunswick,29170,5.1,5672.3
Yarra,Yarra - North,9878,5.2,1896.4
Casey - North,Doveton,12208,5.2,2350.7
Kingston,Aspendale Gardens - Waterways,9489,5.3,1787.9
Bayside,Cheltenham - Highett (West),12140,5.3,2282
Kingston,Chelsea - Bonbeach,15389,5.4,2837.7
Maribyrnong,Maribyrnong,13780,5.5,2508.5
Casey - North,Endeavour Hills - South,14090,5.6,2521.8
Maribyrnong,Yarraville,16231,5.6,2888.2
Bayside,Brighton East,16879,5.6,3009.6
Boroondara,Balwyn,17062,5.6,3055
Knox,The Basin,4478,5.7,783.4
Boroondara,Surrey Hills (West) - Canterbury,17391,5.7,3049.7
Boroondara,Glen Iris - East,17548,5.7,3076
Bayside,Hampton,19098,5.7,3359.6
Boroondara,Hawthorn,25511,5.7,4497.6
Geelong,Newtown (Vic.),10718,5.8,1845.4
Kingston,Carrum - Patterson Lakes,12550,5.8,2154.8
Manningham - West,Templestowe Lower,14449,5.9,2433.1
Maribyrnong,West Footscray - Tottenham,12610,6,2108.4
Bayside,Beaumaris,14604,6,2447.1
Melton - Bacchus Marsh,Taylors Hill,20916,6,3504.8
Darebin - South,Northcote,27516,6.1,4477.8
Whitehorse - East,Vermont South,12386,6.2,2002.9
Casey - South,Narre Warren South (East),13870,6.2,2229.8
Tullamarine - Broadmeadows,Craigieburn - West,18556,6.2,2987.2
Whitehorse - West,Box Hill North,18961,6.2,3053.9
Stonnington - East,Malvern - Glen Iris,21607,6.2,3510.4
Glen Eira,Bentleigh - McKinnon,24503,6.2,3936.7
Yarra,Richmond (Vic.),34646,6.2,5576.8
Dandenong,Clarinda - Oakleigh South,12359,6.3,1954.7
Brimbank,St Albans - South,18482,6.3,2950.2
Manningham - West,Doncaster East (North),15567,6.4,2431.2
Banyule,Heidelberg - Rosanna,16127,6.4,2531
Bayside,Sandringham - Black Rock,18028,6.4,2803.7
Glen Eira,Caulfield - North,23259,6.4,3623.5
Monash,Mount Waverley - North,16326,6.5,2517.9
Brimbank,St Albans - North,21682,6.5,3324.2
Whitehorse - East,Mitcham (Vic.),17390,6.6,2624.1
Manningham - West,Bulleen,11763,6.7,1763.3
Banyule,Heidelberg West,15347,6.7,2293.6
Monash,Ashwood - Chadstone,20195,6.7,3010.3
Maroondah,Croydon - West,14417,6.8,2120.8
Casey - South,Narre Warren South (West),17824,6.8,2630.1
Brunswick - Coburg,Coburg,28654,6.9,4132
Knox,Ferntree Gully (North),14517,7,2078.3
Wyndham,Hoppers Crossing - South,20605,7,2938.8
Melton - Bacchus Marsh,Caroline Springs,21726,7,3124.9
Whitehorse - West,Box Hill,22608,7,3224.2
Moreland - North,Pascoe Vale,26415,7,3782
Dandenong,Dingley Village,10686,7.2,1475.2
Hobsons Bay,Williamstown,16929,7.3,2304.4
Boroondara,Camberwell,23010,7.3,3155.6
Whittlesea - Wallan,Epping - West,12769,7.4,1735.6
Casey - South,Lynbrook - Lyndhurst,17130,7.4,2328
Maribyrnong,Braybrook,20132,7.5,2689.9
Stonnington - East,Malvern East,23464,7.6,3100.9
Whittlesea - Wallan,South Morang (South),12696,7.7,1639.4
Brimbank,Keilor Downs,13909,7.7,1815.9
Monash,Glen Waverley - West,20672,7.7,2693.1
Darebin - North,Preston - East,22395,7.7,2891.3
Whittlesea - Wallan,Epping - East,14006,7.8,1802.8
Wyndham,Werribee - East,20983,7.8,2705.1
Dandenong,Clayton South,13818,7.9,1740.7
Brimbank,Sunshine North,12485,8,1556
Knox,Bayswater,12894,8,1603
Kingston,Mordialloc - Parkdale,21576,8,2707.8
Casey - North,Hallam,11628,8.1,1443.3
Maroondah,Croydon - East,16366,8.1,2020.9
Whittlesea - Wallan,Mill Park - North,18745,8.1,2303.9
Yarra Ranges,Kilsyth,9657,8.2,1171.6
Knox,Rowville - Central,15938,8.2,1943.6
Bayside,Brighton (Vic.),24969,8.2,3044.8
Knox,Wantirna,14590,8.3,1756.5
Essendon,Essendon - Aberfeldie,30368,8.4,3596.8
Wyndham,Point Cook - North,25328,8.5,2983.1
Whitehorse - West,Blackburn,23048,8.6,2677.6
Monash,Mount Waverley - South,20001,8.7,2298.8
Kingston,Cheltenham - Highett (East),24584,8.7,2813.6
Tullamarine - Broadmeadows,Broadmeadows,14424,8.8,1634.1
Hobsons Bay,Newport,19179,8.8,2169.4
Boroondara,Balwyn North,21692,8.8,2451.3
Manningham - West,Doncaster,23396,8.8,2666.6
Yarra Ranges,Upwey - Tecoma,10049,8.9,1130.3
Moreland - North,Glenroy,24508,8.9,2766.7
Darebin - North,Kingsbury,13037,9,1447.1
Darebin - North,Reservoir - East,29552,9,3295.9
Knox,Ferntree Gully (South) - Upper Ferntree Gully,15336,9.1,1676.1
Monash,Glen Waverley - East,22392,9.2,2443.3
Casey - North,Narre Warren - South West,14887,9.3,1599.8
Knox,Rowville - South,10963,9.4,1172.1
Geelong,Belmont,14608,9.4,1559.4
Wyndham,Point Cook - South,18375,9.4,1950.2
Maroondah,Ringwood East,21542,9.4,2293.4
